datetime,hour,predicted_visitors
2024-01-05 07:00:00,7,102.0788006727577
2024-01-05 08:00:00,8,102.0788006727577
2024-01-05 09:00:00,9,105.64868893781274
2024-01-05 10:00:00,10,105.08672923085301
2024-01-05 11:00:00,11,105.08672923085301
2024-01-05 12:00:00,12,105.59411018323397
2024-01-05 13:00:00,13,105.59411018323397
2024-01-05 14:00:00,14,104.62633240545618
2024-01-05 15:00:00,15,105.6108420254658
2024-01-05 16:00:00,16,107.85074826737204
2024-01-05 17:00:00,17,107.85074826737204
2024-01-05 18:00:00,18,103.58441555787256
2024-01-05 19:00:00,19,103.56108222453923
2024-01-05 20:00:00,20,102.00312431208133
2024-01-05 21:00:00,21,101.93521185416887
2024-01-05 22:00:00,22,101.40567217162916
2024-01-05 23:00:00,23,101.46922772718473
2024-01-06 00:00:00,0,85.1483856759494
2024-01-06 01:00:00,1,86.79774357777737
2024-01-06 02:00:00,2,86.74600212478592
2024-01-06 03:00:00,3,87.06711323589703
2024-01-06 04:00:00,4,87.69747345095081
2024-01-06 05:00:00,5,89.49804643033411
2024-01-06 06:00:00,6,89.67317419255012
2024-01-06 07:00:00,7,89.9272719385491
2024-01-06 08:00:00,8,89.9272719385491
2024-01-06 09:00:00,9,89.36051772979486
2024-01-06 10:00:00,10,89.04085961013676
2024-01-06 11:00:00,11,89.01710961013676
2024-01-06 12:00:00,12,88.88115722918438
2024-01-06 13:00:00,13,88.71004611807327
2024-01-06 14:00:00,14,88.62305999308714
2024-01-06 15:00:00,15,88.92213935816649
2024-01-06 16:00:00,16,91.58036533026203
2024-01-06 17:00:00,17,91.58036533026203
2024-01-06 18:00:00,18,91.58036533026203
2024-01-06 19:00:00,19,91.5570319969287
2024-01-06 20:00:00,20,90.5941245895213
2024-01-06 21:00:00,21,90.43535191655508
2024-01-06 22:00:00,22,90.43535191655508
2024-01-06 23:00:00,23,90.52208207528524
2024-01-07 00:00:00,0,94.56692901188947
2024-01-07 01:00:00,1,96.51467863581647
2024-01-07 02:00:00,2,96.462937182825
2024-01-07 03:00:00,3,96.57008003996786
2024-01-07 04:00:00,4,97.25965990987436
2024-01-07 05:00:00,5,100.32423188968892
2024-01-07 06:00:00,6,100.3383358423811
2024-01-07 07:00:00,7,101.05237845053547
2024-01-07 08:00:00,8,101.05237845053547
2024-01-07 09:00:00,9,100.61756363572066
2024-01-07 10:00:00,10,100.4329848811419
2024-01-07 11:00:00,11,100.4329848811419
2024-01-07 12:00:00,12,101.07097189412892
2024-01-07 13:00:00,13,101.07097189412892
2024-01-07 14:00:00,14,99.97258805574508
2024-01-07 15:00:00,15,100.74805005670706
2024-01-07 16:00:00,16,102.89966000231699
2024-01-07 17:00:00,17,102.89966000231699
2024-01-07 18:00:00,18,102.55799333565032
2024-01-07 19:00:00,19,102.534660002317
2024-01-07 20:00:00,20,100.9767020898591
2024-01-07 21:00:00,21,100.90878963194663
2024-01-07 22:00:00,22,100.37924994940695
2024-01-07 23:00:00,23,100.44280550496252
